"expo","outcome","mean","low95ci","up95ci"
"D50","K31",0.09459,0.08565,0.10352
"D50","K40",-0.02779,-0.03284,-0.02274
"D50","K42",-0.00187,-0.00473,0.001
"D50","K43",0.00259,0.00012,0.00505
"D50","K44",0.14816,0.13602,0.16029
"D50","K51",0.00494,0.00175,0.00814
"D50","K52",0.00516,0.00055,0.00977
"D50","K56",0.02034,0.0154,0.02529
"D50","K57",0.1448,0.13249,0.15711
"D50","K58",0.00102,-0.00216,0.0042
"D50","K59",0.02316,0.012,0.03432
"D50","K60",-0.00034,-0.00262,0.00193
"D50","K62",0.03446,0.02615,0.04278
"D50","K63",0.08568,0.07586,0.0955
"D50","K64",0.06994,0.06117,0.07871
"D50","K66",0.01292,0.00893,0.0169
"D50","K76",0.02359,0.01835,0.02884
"D50","K80",0.00454,-0.00029,0.00937
"D50","K92",0.04892,0.04127,0.05658
"D50","L02",-0.00061,-0.00271,0.00149
"D50","L03",0.00372,-0.00061,0.00804
"D50","L30",0.00265,0.00019,0.00511
"D50","L40",0.00242,-0.00082,0.00567
"D50","L57",-0.00233,-0.00481,0.00015
"D50","L72",-0.00612,-0.00799,-0.00425
"D50","L82",-0.00416,-0.0062,-0.00211
"D50","L89",0.01629,0.01282,0.01977
"D50","L98",0.00135,-0.00229,0.00499
"D50","M06",0.00549,0.00243,0.00856
"D50","M10",0.00203,-0.00249,0.00656
"D50","M13",0.00316,-0.00217,0.00849
"D50","M15",-0.00123,-0.00389,0.00143
"D50","M16",-0.00856,-0.01265,-0.00448
"D50","M17",-0.01616,-0.02176,-0.01055
"D50","M19",0.00766,0.00142,0.01391
"D50","M20",-0.00369,-0.00502,-0.00235
"D50","M23",-0.01856,-0.0216,-0.01553
"D50","M25",0.00586,0.00026,0.01146
"D50","M47",0.00122,-0.00297,0.0054
"D50","M48",-0.00187,-0.00491,0.00116
"D50","M51",-0.00333,-0.00696,0.00029
"D50","M54",0.00505,-0.00059,0.01069
"D50","M65",-0.00689,-0.00854,-0.00524
"D50","M72",-0.00918,-0.01269,-0.00568
"D50","M75",-0.0118,-0.01455,-0.00905
"D50","M79",0.00344,-0.00132,0.00819
"D50","M81",0.00901,0.00599,0.01203
"D50","N13",0.0035,0.00023,0.00676
"D50","N17",0.05339,0.04534,0.06144
"D50","N18",0.0364,0.03005,0.04274
"D50","N20",-0.00552,-0.00802,-0.00303
"D50","N28",0.01193,0.00803,0.01584
"D50","N32",-0.00815,-0.01205,-0.00424
"D50","N35",-0.00114,-0.00382,0.00154
"D50","N39",0.01633,0.01051,0.02215
"D50","N40",-0.00544,-0.01271,0.00182
"D50","N41",-0.00345,-0.00551,-0.00139
"D50","N42",-0.00285,-0.00483,-0.00088
"D50","N43",-0.00198,-0.00357,-0.00039
"D50","N47",-0.00233,-0.0055,0.00085
"D50","N48",-0.00254,-0.00487,-2e-04
"D50","N50",-0.00152,-0.00386,0.00083
"D50","U07",0.00999,0.00653,0.01344
"D64","A04",0.01307,0.00978,0.01636
"D64","A09",0.04812,0.04134,0.0549
"D64","A41",0.07554,0.06818,0.0829
"D64","B37",0.02743,0.02288,0.03197
"D64","B95",0.02929,0.02434,0.03424
"D64","B96",0.03793,0.03254,0.04331
"D64","C18",0.01682,0.01276,0.02088
"D64","C34",0.00069,-0.00147,0.00284
"D64","C44",-0.02315,-0.02648,-0.01982
"D64","C61",-0.01498,-0.01944,-0.01052
"D64","C67",-0.00251,-0.00433,-0.00068
"D64","C77",0.02464,0.02009,0.02919
"D64","C78",0.04279,0.03681,0.04877
"D64","C79",0.03293,0.0276,0.03826
"D64","D12",0.01275,0.00643,0.01907
"D64","D17",-0.00802,-0.00964,-0.00639
"D64","D22",-0.00468,-0.00585,-0.00351
"D64","D23",-0.00323,-0.00427,-0.00219
"D64","D50",0.11242,0.10365,0.12118
"D64","D69",0.03689,0.03183,0.04195
"D64","D70",0.0332,0.02809,0.03831
"D64","E03",0.00305,-0.00042,0.00653
"D64","E10",0.0022,0.00034,0.00406
"D64","E11",-0.0021,-0.00804,0.00385
"D64","E14",0.00477,0.00225,0.00728
"D64","E66",0.00499,-0.00152,0.0115
"D64","E78",-0.02014,-0.02871,-0.01157
"D64","E83",0.04843,0.0426,0.05425
"D64","E86",0.04836,0.04278,0.05393
"D64","E87",0.1167,0.10779,0.12562
"D64","F05",0.02717,0.02309,0.03125
"D64","F10",0.00603,0.00202,0.01004
"D64","F17",-0.0029,-0.00889,0.0031
"D64","F32",0.01457,0.0088,0.02035
"D64","F41",0.01489,0.00944,0.02034
"D64","G40",0.00148,-0.00094,0.0039
"D64","G45",-0.00246,-0.00424,-0.00069
"D64","G47",-0.0015,-0.00522,0.00222
"D64","G55",-0.00295,-0.00525,-0.00065
"D64","G56",-0.00728,-0.00959,-0.00498
"D64","G81",0.00332,0.00062,0.00602
"D64","H02",-0.00666,-0.00856,-0.00475
"D64","H25",-0.01554,-0.0193,-0.01178
"D64","H26",-0.0207,-0.02474,-0.01666
"D64","H33",-0.00477,-0.00633,-0.00322
"D64","H35",-0.00536,-0.00783,-0.00288
"D64","H36",0.00191,0.00028,0.00355
"D64","H40",-0.00469,-0.00763,-0.00175
"D64","H52",-0.00384,-0.00611,-0.00158
"D64","H53",0.00027,-0.00199,0.00254
"D64","H91",0.00661,0.00309,0.01013
"D64","I08",0.02288,0.0186,0.02717
"D64","I10",0.00641,-0.00791,0.02073
"D64","I20",-0.01196,-0.01645,-0.00748
"D64","I21",-0.00362,-0.00764,4e-04
"D64","I24",0.00165,-0.00073,0.00402
"D64","I25",-0.00811,-0.01525,-0.00096
"D64","I26",0.01272,0.00858,0.01686
"D64","I34",0.00886,0.00578,0.01193
"D64","I35",0.01204,0.00845,0.01564
"D64","I44",0.00673,0.00302,0.01044
"D64","I45",0.00263,0,0.00526
"D64","I47",0.0048,0.00199,0.00761
"D64","I48",0.02438,0.01721,0.03155
"D64","I49",0.00411,0.00104,0.00717
"D64","I50",0.03732,0.03168,0.04296
"D64","I51",0.03149,0.02554,0.03744
"D64","I63",-0.00156,-0.00461,0.00148
"D64","I67",0.01193,0.00837,0.01549
"D64","I70",0.00667,0.0042,0.00914
"D64","I71",0.00478,0.00148,0.00807
"D64","I73",0.00926,0.00613,0.01239
"D64","I80",0.00869,0.00509,0.01228
"D64","I83",-0.00216,-0.00456,0.00023
"D64","I84",-0.012,-0.01614,-0.00786
"D64","I95",0.07555,0.06811,0.08299
"D64","J18",0.08776,0.07938,0.09614
"D64","J22",0.03185,0.02633,0.03737
"D64","J33",-0.00474,-0.00569,-0.00379
"D64","J34",-0.0042,-0.00586,-0.00254
"D64","J43",0.00535,0.00265,0.00806
"D64","J44",0.00111,-0.00289,0.00512
"D64","J45",-0.01714,-0.02222,-0.01206
"D64","J47",0.0047,0.0024,0.007
"D64","J90",0.06861,0.06144,0.07578
"D64","J96",0.02642,0.02166,0.03118
"D64","J98",0.04285,0.03662,0.04908
"D64","K02",-0.00264,-0.00432,-0.00095
"D64","K13",-0.001,-0.00269,0.00069
"D64","K20",0.02669,0.02127,0.03212
"D64","K21",0.0242,0.01628,0.03212
"D64","K22",0.03793,0.03145,0.04442
"D64","K25",0.02888,0.02411,0.03365
"D64","K26",0.02158,0.01762,0.02553
"D64","K29",0.10382,0.09378,0.11386
"D64","K30",-0.00208,-0.00494,0.00078
"D64","K31",0.0532,0.04674,0.05967
"D64","K40",-0.03179,-0.03614,-0.02744
"D64","K42",-0.00186,-0.00446,0.00073
"D64","K43",0.00443,0.00167,0.00719
"D64","K44",0.0654,0.05643,0.07438
"D64","K51",0.00326,0.00051,0.00602
"D64","K52",0.0116,0.00712,0.01608
"D64","K56",0.02314,0.01846,0.02783
"D64","K57",0.04821,0.03914,0.05729
"D64","K58",0.00194,-0.00115,0.00504
"D64","K59",0.06048,0.05307,0.06788
"D64","K60",-0.00028,-0.00219,0.00164
"D64","K62",0.00946,0.00288,0.01605
"D64","K63",0.03777,0.03023,0.04531
"D64","K64",0.0351,0.02847,0.04173
"D64","K66",0.01228,0.00845,0.01612
"D64","K76",0.02484,0.01973,0.02995
"D64","K80",0.00419,7e-05,0.00831
"D64","K92",0.07866,0.07066,0.08666
"D64","L02",0.00036,-0.00163,0.00235
"D64","L03",0.01392,0.00922,0.01863
"D64","L30",0.00292,0.00054,0.00529
"D64","L40",0.00102,-0.00159,0.00364
"D64","L57",-0.00547,-0.00749,-0.00346
"D64","L72",-0.00868,-0.00979,-0.00756
"D64","L82",-0.00419,-0.00587,-0.0025
"D64","L89",0.02951,0.02544,0.03358
"D64","L98",-0.00069,-0.00387,0.00249
"D64","M06",0.00438,0.00149,0.00727
"D64","M10",0.00557,0.00148,0.00965
"D64","M13",0.00046,-0.00402,0.00495
"D64","M15",-0.0032,-0.0055,-9e-04
"D64","M16",-0.00939,-0.013,-0.00579
"D64","M17",-0.01952,-0.02435,-0.01468
"D64","M19",0.00623,6e-04,0.01186
"D64","M20",-0.00471,-0.00571,-0.00372
"D64","M23",-0.01996,-0.02241,-0.01751
"D64","M25",0.00688,0.00245,0.01131
"D64","M47",0.0019,-0.00182,0.00562
"D64","M48",0.00175,-0.0013,0.0048
"D64","M51",0.00082,-0.003,0.00463
"D64","M54",0.00729,0.00209,0.01248
"D64","M65",-0.00781,-0.009,-0.00662
"D64","M72",-0.00972,-0.01154,-0.0079
"D64","M75",-0.01184,-0.01408,-0.00959
"D64","M79",0.01311,0.00821,0.018
"D64","M81",0.01011,0.00739,0.01284
"D64","N13",0.01544,0.01152,0.01935
"D64","N17",0.11343,0.10471,0.12216
"D64","N18",0.04808,0.0421,0.05407
"D64","N20",-0.00288,-0.0054,-0.00036
"D64","N28",0.01169,0.00813,0.01525
"D64","N32",-0.00353,-0.00743,0.00038
"D64","N35",0.00029,-0.0024,0.00298
"D64","N39",0.03959,0.03313,0.04605
"D64","N40",-0.01468,-0.02086,-0.00849
"D64","N41",-0.00387,-0.0056,-0.00215
"D64","N42",-0.00279,-0.00436,-0.00122
"D64","N43",-0.002,-0.00345,-0.00055
"D64","N47",-0.00017,-0.00246,0.00212
"D64","N48",0.00019,-0.00229,0.00267
"D64","N50",-9e-05,-0.00244,0.00227
"D64","U07",0.01794,0.01404,0.02184
"D69","A04",0.01597,0.00749,0.02444
"D69","A09",0.06898,0.05227,0.0857
"D69","A41",0.15946,0.13847,0.18044
"D69","B37",0.03582,0.02523,0.04642
"D69","B95",0.03001,0.01866,0.04136
"D69","B96",0.04849,0.03444,0.06255
"D69","C18",-0.00542,-0.00916,-0.00169
"D69","C34",-0.00318,-0.00748,0.00112
"D69","C44",-0.01234,-0.02129,-0.00339
"D69","C61",-0.02911,-0.03536,-0.02285
"D69","C67",-0.00319,-0.00735,0.00097
"D69","C77",0.00357,-0.00363,0.01077
"D69","C78",0.02266,0.0116,0.03373
"D69","C79",0.02631,0.01542,0.03719
"D69","D12",-0.03423,-0.0415,-0.02695
"D69","D17",-0.00904,-0.0115,-0.00659
"D69","D22",-0.00476,-0.00756,-0.00195
"D69","D23",-0.00368,-0.00537,-0.002
"D69","D50",0.02406,0.01229,0.03582
"D69","D64",0.1273,0.10668,0.14792
"D69","D70",0.12084,0.10199,0.1397
"D69","E03",0.00066,-0.00691,0.00824
"D69","E10",-0.00243,-0.00527,0.00041
"D69","E11",-0.01004,-0.02418,0.00409
"D69","E14",0.00307,-0.00406,0.01019
"D69","E66",0.00324,-0.00858,0.01507
"D69","E78",-0.0516,-0.06798,-0.03521
"D69","E83",0.07051,0.05538,0.08563
"D69","E86",0.05549,0.04258,0.0684
"D69","E87",0.18257,0.15797,0.20716
"D69","F05",0.04238,0.03145,0.05331
"D69","F10",0.01564,0.00532,0.02596
"D69","F17",-0.01048,-0.02381,0.00286
"D69","F32",0.002,-0.00841,0.0124
"D69","F41",0.00338,-0.00641,0.01316
"D69","G40",0.00386,-0.00226,0.00998
"D69","G45",0.00113,-0.00456,0.00681
"D69","G47",-0.00321,-0.0101,0.00368
"D69","G55",2e-04,-0.00599,0.00639
"D69","G56",-0.00959,-0.0127,-0.00648
"D69","G81",0.00512,-0.00059,0.01083
"D69","H02",-0.00703,-0.01028,-0.00377
"D69","H25",-0.00745,-0.01602,0.00112
"D69","H26",-0.0128,-0.02262,-0.00297
"D69","H33",-0.00565,-0.0084,-0.0029
"D69","H35",-0.00106,-0.00703,0.00491
"D69","H36",-0.00153,-0.00618,0.00312
"D69","H40",-0.01046,-0.01545,-0.00547
"D69","H52",-0.00506,-0.00948,-0.00063
"D69","H53",0.00375,-0.00283,0.01033
"D69","H91",0.0056,-0.00236,0.01356
"D69","I08",0.02972,0.01863,0.04081
"D69","I10",-0.01175,-0.04558,0.02207
"D69","I20",-0.01984,-0.02919,-0.01049
"D69","I21",-0.00887,-0.01697,-0.00077
"D69","I24",0.00421,-0.00314,0.01155
"D69","I25",-0.03161,-0.04415,-0.01908
"D69","I26",0.01793,0.00836,0.0275
"D69","I34",0.01164,0.00333,0.01995
"D69","I35",0.00893,-3e-05,0.01789
"D69","I44",0.00633,-0.00165,0.01431
"D69","I45",0.00757,9e-05,0.01506
"D69","I47",0.01191,0.00288,0.02094
"D69","I48",0.02521,0.00885,0.04156
"D69","I49",0.01393,0.00556,0.0223
"D69","I50",0.05008,0.03562,0.06454
"D69","I51",0.0345,0.02094,0.04806
"D69","I63",0.0058,-0.00268,0.01429
"D69","I67",0.01509,0.00598,0.02419
"D69","I70",0.00654,0.00114,0.01195
"D69","I71",0.01031,0.00127,0.01936
"D69","I73",0.00709,-0.00095,0.01514
"D69","I80",0.02208,0.01205,0.03211
"D69","I83",-0.00017,-0.0048,0.00445
"D69","I84",-0.02902,-0.03312,-0.02493
"D69","I95",0.08495,0.06802,0.10188
"D69","J18",0.13434,0.1127,0.15599
"D69","J22",0.05962,0.04538,0.07387
"D69","J33",-0.00493,-0.00628,-0.00357
"D69","J34",-0.00165,-0.00767,0.00436
"D69","J43",0.00553,-0.0019,0.01296
"D69","J44",-0.00205,-0.01132,0.00722
"D69","J45",-0.02576,-0.03525,-0.01626
"D69","J47",0.00468,-0.00193,0.01129
"D69","J90",0.09341,0.07547,0.11136
"D69","J96",0.04996,0.03639,0.06354
"D69","J98",0.06797,0.05075,0.08519
"D69","K02",-0.00201,-0.00555,0.00152
"D69","K13",-0.00398,-0.00575,-0.00222
"D69","K20",-0.00923,-0.01522,-0.00323
"D69","K21",-0.00892,-0.02187,0.00403
"D69","K22",-0.00508,-0.01363,0.00346
"D69","K25",-0.00013,-0.0048,0.00454
"D69","K26",0.00073,-0.00362,0.00508
"D69","K29",-0.00558,-0.02032,0.00916
"D69","K30",-0.00856,-0.01412,-0.003
"D69","K31",0.01793,0.00694,0.02893
"D69","K40",-0.03556,-0.04465,-0.02648
"D69","K42",-0.00337,-0.0085,0.00177
"D69","K43",-0.00442,-0.00709,-0.00175
"D69","K44",-0.02018,-0.03174,-0.00862
"D69","K51",0.00013,-0.00384,0.0041
"D69","K52",0.0147,0.00429,0.02511
"D69","K56",0.00789,0.0012,0.01458
"D69","K57",-0.03056,-0.04478,-0.01634
"D69","K58",-0.00461,-0.00823,-0.00099
"D69","K59",0.05981,0.04305,0.07657
"D69","K60",-0.00447,-0.00633,-0.00261
"D69","K62",-0.01811,-0.03013,-0.00609
"D69","K63",-0.0179,-0.02958,-0.00621
"D69","K64",0.00292,-0.0077,0.01353
"D69","K66",0.00107,-0.00513,0.00728
"D69","K76",0.07137,0.05498,0.08776
"D69","K80",0.01034,0.00037,0.02032
"D69","K92",0.03634,0.02243,0.05026
"D69","L02",-0.00163,-0.00493,0.00167
"D69","L03",0.02058,0.00988,0.03128
"D69","L30",0.00628,-0.00012,0.01268
"D69","L40",0.00777,3e-04,0.01523
"D69","L57",-0.00097,-0.00622,0.00429
"D69","L72",-0.00823,-0.01038,-0.00609
"D69","L82",0.00146,-0.00384,0.00677
"D69","L89",0.03854,0.02756,0.04952
"D69","L98",0.00971,0.00221,0.01721
"D69","M06",-0.00294,-0.00631,0.00044
"D69","M10",0.00728,-0.00112,0.01568
"D69","M13",-0.01054,-0.01891,-0.00217
"D69","M15",-0.00297,-0.00724,0.00129
"D69","M16",-0.01702,-0.02345,-0.01059
"D69","M17",-0.02594,-0.03538,-0.01651
"D69","M19",-0.01559,-0.02585,-0.00533
"D69","M20",-0.00598,-0.00718,-0.00478
"D69","M23",-0.01922,-0.02625,-0.01218
"D69","M25",0.01016,-0.00114,0.02146
"D69","M47",0,-0.00858,0.00857
"D69","M48",0.00178,-0.0049,0.00846
"D69","M51",-0.00298,-0.00945,0.0035
"D69","M54",0.00334,-0.00658,0.01326
"D69","M65",-0.00778,-0.01098,-0.00459
"D69","M72",-0.00598,-0.01132,-0.00064
"D69","M75",-0.01704,-0.02027,-0.01381
"D69","M79",0.02571,0.01352,0.0379
"D69","M81",0.00739,-0.00044,0.01523
"D69","N13",0.00219,-0.00305,0.00743
"D69","N17",0.18345,0.15925,0.20766
"D69","N18",0.04544,0.0307,0.06018
"D69","N20",-0.00576,-0.01189,0.00037
"D69","N28",0.01622,0.00743,0.02501
"D69","N32",-0.00985,-0.01662,-0.00308
"D69","N35",-0.00194,-0.00616,0.00228
"D69","N39",0.04453,0.02905,0.06
"D69","N40",-0.0255,-0.03767,-0.01332
"D69","N41",-0.00697,-0.00868,-0.00525
"D69","N42",-0.00481,-0.0074,-0.00223
"D69","N43",-0.00076,-0.00495,0.00343
"D69","N47",-0.00533,-0.00837,-0.00229
"D69","N48",0.00659,-0.0022,0.01537
"D69","N50",0.0026,-0.00328,0.00849
"D69","U07",0.0217,0.01285,0.03055
"D70","A04",0.03825,0.02842,0.04809
"D70","A09",0.16906,0.14879,0.18933
"D70","A41",0.58029,0.55658,0.604
"D70","B37",0.07946,0.06467,0.09426
"D70","B95",0.05416,0.04102,0.06731
"D70","B96",0.08666,0.07028,0.10303
"D70","C18",0.00339,-0.00236,0.00913
"D70","C34",5e-05,-0.0043,0.0044
"D70","C44",-0.01987,-0.02659,-0.01315
"D70","C61",-0.02714,-0.03341,-0.02087
"D70","C67",-0.00703,-0.00953,-0.00454
"D70","C77",0.03944,0.02806,0.05081
"D70","C78",0.0743,0.06089,0.08771
"D70","C79",0.0807,0.06552,0.09589
"D70","D12",-0.03459,-0.04198,-0.02721
"D70","D17",-0.00511,-0.00957,-0.00065
"D70","D22",-0.00397,-0.00605,-0.0019
"D70","D23",-0.00451,-0.0055,-0.00351
"D70","D50",0.00108,-0.00746,0.00961
"D70","D64",0.10276,0.08523,0.1203
"D70","D69",1,0.95516,1.04484
"D70","E03",-0.00274,-0.00862,0.00313
"D70","E10",0.00403,-0.00172,0.00977
"D70","E11",-0.02871,-0.04133,-0.01609
"D70","E14",-0.00338,-0.00746,0.00069
"D70","E66",-0.01925,-0.02985,-0.00865
"D70","E78",-0.08032,-0.09304,-0.06759
"D70","E83",0.09046,0.07571,0.10521
"D70","E86",0.09129,0.07662,0.10597
"D70","E87",0.18638,0.16546,0.2073
"D70","F05",0.02715,0.01876,0.03553
"D70","F10",-0.00484,-0.0108,0.00111
"D70","F17",-0.01982,-0.02956,-0.01008
"D70","F32",-0.00196,-0.01182,0.0079
"D70","F41",0.01117,0.00095,0.02139
"D70","G40",-0.00091,-0.00554,0.00372
"D70","G45",-0.00516,-0.00782,-0.0025
"D70","G47",-0.01402,-0.01822,-0.00983
"D70","G55",0.0058,-0.00105,0.01266
"D70","G56",-0.01284,-0.01562,-0.01007
"D70","G81",0.00142,-0.00323,0.00607
"D70","H02",-0.00332,-0.00812,0.00147
"D70","H25",-0.02453,-0.03066,-0.01839
"D70","H26",-0.02922,-0.03737,-0.02106
"D70","H33",-0.00629,-0.00844,-0.00413
"D70","H35",-0.00685,-0.01105,-0.00265
"D70","H36",-8e-04,-0.00481,0.0032
"D70","H40",-0.01279,-0.01714,-0.00843
"D70","H52",-0.00702,-0.01084,-0.00319
"D70","H53",0.00116,-0.00359,0.00591
"D70","H91",-0.00433,-0.01029,0.00163
"D70","I08",0.00405,-0.00236,0.01046
"D70","I10",-0.11138,-0.13555,-0.08721
"D70","I20",-0.02963,-0.03776,-0.0215
"D70","I21",-0.01924,-0.02574,-0.01274
"D70","I24",-0.00371,-0.00801,0.00059
"D70","I25",-0.04375,-0.05608,-0.03142
"D70","I26",0.02325,0.01566,0.03084
"D70","I34",0.00548,-0.00053,0.01149
"D70","I35",0.00415,-0.00467,0.01298
"D70","I44",-0.01143,-0.01667,-0.00619
"D70","I45",-0.00024,-0.00584,0.00537
"D70","I47",0.00872,0.00236,0.01508
"D70","I48",0.02257,0.00929,0.03585
"D70","I49",-0.00045,-0.00567,0.00476
"D70","I50",0.02254,0.01143,0.03365
"D70","I51",0.00425,-0.0063,0.0148
"D70","I63",-0.0015,-0.00709,0.00409
"D70","I67",0.00126,-0.00527,0.0078
"D70","I70",0.00127,-0.00288,0.00541
"D70","I71",-0.0016,-0.00598,0.00277
"D70","I73",-0.00591,-0.01032,-0.0015
"D70","I80",0.01726,0.01011,0.02442
"D70","I83",-0.00647,-0.01004,-0.0029
"D70","I84",-0.02009,-0.02639,-0.0138
"D70","I95",0.11193,0.095,0.12886
"D70","J18",0.1841,0.16188,0.20632
"D70","J22",0.11115,0.09499,0.1273
"D70","J33",-0.00518,-0.00649,-0.00388
"D70","J34",-0.00095,-0.0063,0.0044
"D70","J43",0.00436,-0.00011,0.00883
"D70","J44",-0.01415,-0.02063,-0.00766
"D70","J45",-0.02871,-0.03736,-0.02006
"D70","J47",0.01654,0.00957,0.02351
"D70","J90",0.09528,0.08,0.11056
"D70","J96",0.05623,0.04413,0.06834
"D70","J98",0.07258,0.05847,0.08669
"D70","K02",0.0033,-0.00138,0.00797
"D70","K13",0.00873,0.00339,0.01406
"D70","K20",0.00336,-0.00415,0.01087
"D70","K21",-0.01441,-0.02628,-0.00254
"D70","K22",-0.00748,-0.01466,-0.00031
"D70","K25",-0.00334,-0.00796,0.00128
"D70","K26",-0.00433,-0.00724,-0.00141
"D70","K29",-0.02063,-0.03285,-0.00841
"D70","K30",-0.00595,-0.01045,-0.00145
"D70","K31",-0.00326,-0.00999,0.00347
"D70","K40",-0.03953,-0.04656,-0.03249
"D70","K42",-0.00855,-0.01172,-0.00537
"D70","K43",0.00175,-0.00335,0.00685
"D70","K44",-0.02651,-0.03661,-0.0164
"D70","K51",0.00251,-0.0025,0.00752
"D70","K52",0.06786,0.0535,0.08223
"D70","K56",0.02374,0.01527,0.0322
"D70","K57",-0.0531,-0.06398,-0.04222
"D70","K58",-0.00523,-0.00879,-0.00166
"D70","K59",0.11768,0.09887,0.13649
"D70","K60",0.00407,-0.00071,0.00886
"D70","K62",-0.01963,-0.02952,-0.00973
"D70","K63",-0.02644,-0.03612,-0.01676
"D70","K64",0.00796,-0.00365,0.01957
"D70","K66",0.00048,-0.00487,0.00583
"D70","K76",0.01699,0.00758,0.02639
"D70","K80",0.00522,-0.00324,0.01368
"D70","K92",0.02561,0.01433,0.03689
"D70","L02",0.00522,0.00073,0.0097
"D70","L03",0.03431,0.02365,0.04497
"D70","L30",0.00344,-0.00168,0.00856
"D70","L40",0.00064,-0.00391,0.0052
"D70","L57",-0.00374,-0.00795,0.00047
"D70","L72",-0.0065,-0.00965,-0.00336
"D70","L82",-0.00541,-0.00795,-0.00287
"D70","L89",0.03246,0.02403,0.0409
"D70","L98",0.0029,-0.00281,0.0086
"D70","M06",-0.00504,-0.00754,-0.00254
"D70","M10",-0.00438,-0.01158,0.00282
"D70","M13",-0.01757,-0.02575,-0.00938
"D70","M15",-0.00801,-0.01187,-0.00415
"D70","M16",-0.02159,-0.02631,-0.01687
"D70","M17",-0.03819,-0.04621,-0.03017
"D70","M19",-0.02189,-0.0312,-0.01259
"D70","M20",-0.00487,-0.00675,-0.00299
"D70","M23",-0.02082,-0.02508,-0.01657
"D70","M25",0.01586,0.00436,0.02736
"D70","M47",-0.00429,-0.01091,0.00232
"D70","M48",0.00641,-0.00102,0.01383
"D70","M51",-0.00184,-0.00806,0.00438
"D70","M54",0.02469,0.01325,0.03613
"D70","M65",-0.00596,-0.01036,-0.00155
"D70","M72",-0.01058,-0.01307,-0.0081
"D70","M75",-0.01445,-0.01859,-0.01031
"D70","M79",0.03095,0.01885,0.04305
"D70","M81",0.00266,-0.00301,0.00833
"D70","N13",0.01284,0.00326,0.02242
"D70","N17",0.17205,0.1516,0.1925
"D70","N18",0.02902,0.01514,0.04291
"D70","N20",-0.00421,-0.00872,3e-04
"D70","N28",0.00299,-0.00258,0.00855
"D70","N32",-0.01767,-0.02286,-0.01247
"D70","N35",-0.00617,-0.00897,-0.00337
"D70","N39",0.06147,0.04644,0.07651
"D70","N40",-0.0347,-0.04478,-0.02462
"D70","N41",-0.00532,-0.00772,-0.00291
"D70","N42",-0.006,-0.00772,-0.00428
"D70","N43",-0.0017,-0.00546,0.00205
"D70","N47",-0.00289,-0.00658,0.00079
"D70","N48",0.00092,-0.0045,0.00634
"D70","N50",-0.00011,-0.00537,0.00515
"D70","U07",0.01677,0.00904,0.0245
"E03","A04",-3e-04,-0.00231,0.00171
"E03","A09",0.01837,0.01077,0.02597
"E03","A41",0.01734,0.01054,0.02414
"E03","B37",0.00495,0.00095,0.00894
"E03","B95",0.01003,0.00485,0.01521
"E03","B96",0.01081,0.00463,0.017
"E03","C18",-0.00513,-0.00771,-0.00256
"E03","C34",-0.00042,-0.00354,0.0027
"E03","C44",-0.01551,-0.02088,-0.01014
"E03","C61",-0.01002,-0.01621,-0.00384
"E03","C67",0.00236,-0.0012,0.00592
"E03","C77",0.00208,-0.00254,0.0067
"E03","C78",0.00152,-0.00346,0.00651
"E03","C79",-0.00076,-0.0052,0.00368
"E03","D12",-0.01203,-0.01941,-0.00465
"E03","D17",-0.00106,-0.00506,0.00293
"E03","D22",0.00017,-0.00293,0.00328
"E03","D23",-0.00217,-0.00423,-1e-04
"E03","D50",0.01614,0.00931,0.02298
"E03","D64",0.02164,0.01377,0.0295
"E03","D69",0.00645,0.00198,0.01092
"E03","D70",0.00289,-0.00103,0.00681
"E03","E10",0.00321,0.00048,0.00593
"E03","E11",0.00744,-0.00081,0.01568
"E03","E14",-7e-04,-0.00345,0.00205
"E03","E66",0.02098,0.01241,0.02954
"E03","E78",0.06909,0.05491,0.08327
"E03","E83",0.01583,0.00965,0.02201
"E03","E86",0.01913,0.01289,0.02536
"E03","E87",0.03975,0.03088,0.04863
"E03","F05",0.0169,0.01183,0.02198
"E03","F10",4e-04,-0.0047,0.00551
"E03","F17",0.01199,0.00344,0.02054
"E03","F32",0.02299,0.01487,0.03111
"E03","F41",0.01463,0.00781,0.02145
"E03","G40",0.00172,-0.00146,0.00491
"E03","G45",-0.00244,-0.00485,-3e-05
"E03","G47",0.00485,-0.00034,0.01004
"E03","G55",0.00176,-0.00206,0.00559
"E03","G56",-0.00068,-0.00488,0.00352
"E03","G81",0.00361,0.00023,0.00699
"E03","H02",-0.00026,-0.0038,0.00327
"E03","H25",0.00395,-0.00278,0.01067
"E03","H26",-0.00699,-0.01396,-1e-05
"E03","H33",-0.00232,-0.00493,0.00029
"E03","H35",-0.00016,-0.00428,0.00396
"E03","H36",0.00121,-0.0012,0.00361
"E03","H40",0.00131,-0.00381,0.00644
"E03","H52",-0.00145,-0.00498,0.00209
"E03","H53",0.00568,0.00148,0.00988
"E03","H91",0.00879,0.00368,0.01389
"E03","I08",0.01081,0.00593,0.0157
"E03","I10",0.0899,0.07276,0.10704
"E03","I20",0.00877,0.00087,0.01667
"E03","I21",0.00335,-0.00279,0.00949
"E03","I24",0.00189,-0.00158,0.00535
"E03","I25",0.0228,0.01159,0.034
"E03","I26",0.00308,-0.00144,0.0076
"E03","I34",0.00466,0.00068,0.00863
"E03","I35",0.00523,0.00048,0.00998
