"expo","outcome","mean","low95ci","up95ci"
"A04","L57",-0.00515,-0.01051,0.00022
"A04","L72",-0.0086,-0.01136,-0.00585
"A04","L82",-0.00595,-0.00945,-0.00245
"A04","L89",0.02399,0.01457,0.03341
"A04","L98",-0.00223,-0.00837,0.00391
"A04","M06",0.00079,-0.00491,0.00649
"A04","M10",0.00056,-0.00904,0.01017
"A04","M13",-0.00574,-0.01745,0.00596
"A04","M15",-0.00616,-0.01099,-0.00133
"A04","M16",-0.01536,-0.0251,-0.00563
"A04","M17",-0.01709,-0.02992,-0.00426
"A04","M19",-0.00734,-0.02117,0.0065
"A04","M20",-0.00579,-0.00798,-0.0036
"A04","M23",-0.01424,-0.02195,-0.00653
"A04","M25",-0.00274,-0.01352,0.00804
"A04","M47",0.00149,-0.00831,0.01129
"A04","M48",-0.00503,-0.01129,0.00122
"A04","M51",0.00281,-0.00726,0.01288
"A04","M54",0.00488,-0.00864,0.0184
"A04","M65",-0.00545,-0.00995,-0.00096
"A04","M72",-0.00778,-0.01315,-0.0024
"A04","M75",-0.01564,-0.02028,-0.011
"A04","M79",-0.00695,-0.01761,0.00371
"A04","M81",0.00295,-0.00549,0.01139
"A04","N13",0.00454,-0.00307,0.01214
"A04","N17",0.13349,0.10946,0.15751
"A04","N18",0.02102,0.00508,0.03697
"A04","N20",-0.00655,-0.01221,-0.00088
"A04","N28",0.00536,-0.00308,0.0138
"A04","N32",-0.00547,-0.01603,0.00509
"A04","N35",-0.00028,-0.00609,0.00553
"A04","N39",0.03602,0.01972,0.05233
"A04","N40",-0.01424,-0.03069,0.00221
"A04","N41",-0.0057,-0.00907,-0.00234
"A04","N42",-0.00375,-0.00706,-0.00043
"A04","N43",0.00385,-0.00275,0.01046
"A04","N47",-0.00018,-0.0064,0.00604
"A04","N48",0.00106,-0.00721,0.00932
"A04","N50",0.00071,-0.00505,0.00646
"A04","U07",0.01055,0.00311,0.01798
"A09","A04",0.0137,0.0106,0.01679
"A09","A41",0.08849,0.08077,0.09621
"A09","B37",0.02487,0.02057,0.02918
"A09","B95",0.01722,0.01307,0.02137
"A09","B96",0.03186,0.0265,0.03722
"A09","C18",0.00095,-0.00176,0.00367
"A09","C34",-0.00196,-0.00402,1e-04
"A09","C44",-0.02452,-0.02795,-0.02109
"A09","C61",-0.02255,-0.02653,-0.01857
"A09","C67",-0.00443,-0.00624,-0.00262
"A09","C77",0.01117,0.0069,0.01544
"A09","C78",0.0176,0.01286,0.02234
"A09","C79",0.01768,0.01303,0.02233
"A09","D12",0.00976,0.00331,0.01621
"A09","D17",-0.00685,-0.0089,-0.00479
"A09","D22",-0.00418,-0.00539,-0.00296
"A09","D23",-0.00336,-0.00432,-0.0024
"A09","D50",0.01972,0.01444,0.025
"A09","D64",0.04069,0.03421,0.04718
"A09","D69",0.01901,0.01503,0.02299
"A09","D70",0.04043,0.03502,0.04585
"A09","E03",-0.00125,-0.00454,0.00204
"A09","E10",-6e-04,-0.00212,0.00093
"A09","E11",6e-05,-0.00637,0.0065
"A09","E14",0.00137,-0.00103,0.00377
"A09","E66",-0.0028,-0.00847,0.00286
